post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2025-06-05 00:00:00+00:00,0.04000000000000001,0.0068571428571428585,13,3,0,12
2025-06-06 00:00:00+00:00,0.060000000000000005,0.01972413793103448,30,8,1,21
2025-06-07 00:00:00+00:00,0.2,0.08,10,4,0,6
2025-06-08 00:00:00+00:00,0.0,0.0,1,0,0,2
2025-06-09 00:00:00+00:00,0.1,0.045714285714285714,8,2,0,6
2025-06-10 00:00:00+00:00,0.05555555555555555,0.013202614379084968,18,6,1,11
2025-06-11 00:00:00+00:00,0.07692307692307693,0.03025641025641025,13,2,0,11
2025-06-12 00:00:00+00:00,0.06470588235294118,0.016292335115864528,34,8,0,26
2025-06-13 00:00:00+00:00,0.13333333333333333,0.08941176470588236,18,4,1,13
2025-06-14 00:00:00+00:00,0.04,0.028000000000000004,5,0,1,4
2025-06-15 00:00:00+00:00,0.1,0.020000000000000004,2,1,0,1
2025-06-16 00:00:00+00:00,0.0,0.01142857142857143,15,2,3,10
2025-06-17 00:00:00+00:00,0.07368421052631578,0.02315789473684211,18,4,0,15
2025-06-18 00:00:00+00:00,0.2545454545454545,0.08072727272727273,11,6,0,5
2025-06-19 00:00:00+00:00,0.04000000000000001,0.0982857142857143,15,0,1,14
2025-06-20 00:00:00+00:00,0.04615384615384616,0.007692307692307693,12,2,0,11
2025-06-21 00:00:00+00:00,0.0,0.0,1,0,0,1
2025-06-22 00:00:00+00:00,0.0,0.0,1,0,0,1
2025-06-23 00:00:00+00:00,0.014285714285714287,0.009010989010989014,13,1,1,12
2025-06-24 00:00:00+00:00,0.03636363636363637,0.006545454545454546,10,2,0,9
2025-06-25 00:00:00+00:00,0.08,0.044571428571428574,15,2,0,13
2025-06-26 00:00:00+00:00,0.05,0.024,16,2,0,14
2025-06-27 00:00:00+00:00,0.04,0.008000000000000002,5,0,0,5
2025-06-28 00:00:00+00:00,0.39999999999999997,0.12,3,2,0,1
2025-06-29 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-06-30 00:00:00+00:00,0.06153846153846154,0.009230769230769232,12,3,0,10
2025-07-01 00:00:00+00:00,0.04827586206896552,0.021871921182266007,29,6,0,23
2025-07-02 00:00:00+00:00,0.1523809523809524,0.0756190476190476,20,10,0,11
2025-07-03 00:00:00+00:00,0.0,0.008000000000000002,11,1,0,10
2025-07-04 00:00:00+00:00,0.14074074074074072,0.07327635327635326,27,10,0,17
2025-07-05 00:00:00+00:00,0.04,0.008000000000000002,3,1,0,4
2025-07-06 00:00:00+00:00,0.025,0.01642857142857143,8,2,1,5
2025-07-07 00:00:00+00:00,0.0,0.0,4,0,0,4
2025-07-08 00:00:00+00:00,0.13999999999999999,0.11410526315789475,20,4,1,15
2025-07-09 00:00:00+00:00,0.21428571428571427,0.13824175824175824,14,5,0,9
2025-07-10 00:00:00+00:00,0.16249999999999998,0.09183333333333334,16,5,0,11
2025-07-11 00:00:00+00:00,0.12857142857142856,0.0898901098901099,13,3,0,11
2025-07-12 00:00:00+00:00,0.06,0.021473684210526315,19,4,0,16
2025-07-13 00:00:00+00:00,0.0,0.013333333333333336,7,1,0,6
2025-07-14 00:00:00+00:00,0.07058823529411765,0.024705882352941175,17,4,1,12
2025-07-15 00:00:00+00:00,0.010526315789473684,0.03321637426900585,18,4,1,14
2025-07-16 00:00:00+00:00,0.12307692307692308,0.056923076923076917,12,5,1,7
2025-07-17 00:00:00+00:00,0.096,0.07373333333333336,24,7,1,17
2025-07-18 00:00:00+00:00,0.017647058823529415,0.03483065953654188,32,10,3,21
2025-07-19 00:00:00+00:00,0.05000000000000001,0.015454545454545453,12,3,0,9
2025-07-20 00:00:00+00:00,0.1,0.03777777777777778,9,2,0,8
2025-07-21 00:00:00+00:00,0.12972972972972974,0.03603603603603603,37,16,0,21
2025-07-22 00:00:00+00:00,0.11219512195121953,0.05209756097560975,41,10,2,29
2025-07-23 00:00:00+00:00,0.061538461538461535,0.02979757085020243,39,11,3,25
2025-07-24 00:00:00+00:00,0.09655172413793103,0.030344827586206897,29,9,1,19
2025-07-25 00:00:00+00:00,0.0,0.013913043478260875,24,3,2,19
2025-07-26 00:00:00+00:00,0.05454545454545454,0.04072727272727272,11,2,0,9
2025-07-27 00:00:00+00:00,0.03636363636363637,0.006545454545454546,11,2,0,9
2025-07-28 00:00:00+00:00,0.12666666666666665,0.0537471264367816,30,7,0,23
2025-07-29 00:00:00+00:00,0.015384615384615387,0.01765182186234818,38,8,1,30
2025-07-30 00:00:00+00:00,0.0888888888888889,0.031794871794871796,26,8,2,17
2025-07-31 00:00:00+00:00,0.14074074074074072,0.06712250712250711,27,9,0,18
2025-08-01 00:00:00+00:00,0.06153846153846154,0.018461538461538463,26,3,2,21
2025-08-02 00:00:00+00:00,0.030769230769230767,0.038974358974358976,13,2,2,9
2025-08-03 00:00:00+00:00,0.2,0.0,1,0,0,1
2025-08-04 00:00:00+00:00,0.00740740740740741,0.019943019943019943,26,3,1,23
2025-08-05 00:00:00+00:00,0.042105263157894736,0.0262873399715505,38,8,3,27
2025-08-06 00:00:00+00:00,0.10833333333333334,0.09036231884057973,24,6,2,16
2025-08-07 00:00:00+00:00,0.08,0.05406896551724138,28,9,3,18
2025-08-08 00:00:00+00:00,0.14782608695652175,0.06624505928853755,23,9,0,14
2025-08-09 00:00:00+00:00,0.13846153846153844,0.04923076923076924,13,4,0,9
2025-08-10 00:00:00+00:00,0.08571428571428572,0.039788359788359796,28,7,1,20
2025-08-11 00:00:00+00:00,0.026666666666666665,0.07650574712643679,30,5,3,22
2025-08-12 00:00:00+00:00,0.11739130434782609,0.05435748792270532,46,16,4,26
2025-08-13 00:00:00+00:00,0.07692307692307693,0.03004524886877828,52,10,2,40
2025-08-14 00:00:00+00:00,0.09411764705882353,0.06360071301247773,34,9,3,22
2025-08-15 00:00:00+00:00,0.037037037037037035,0.015498575498575494,26,2,0,25
2025-08-16 00:00:00+00:00,0.136,0.05906666666666668,24,7,0,18
2025-08-17 00:00:00+00:00,0.16363636363636364,0.11854545454545454,11,3,0,8
2025-08-18 00:00:00+00:00,0.026086956521739136,0.008379446640316207,22,5,1,17
2025-08-19 00:00:00+00:00,0.10434782608695652,0.03225296442687747,23,6,0,17
2025-08-20 00:00:00+00:00,0.07857142857142858,0.039523809523809524,28,4,0,24
2025-08-21 00:00:00+00:00,0.06086956521739131,0.012490118577075103,23,7,2,14
2025-08-22 00:00:00+00:00,0.075,0.028076923076923072,40,9,0,31
2025-08-23 00:00:00+00:00,0.09333333333333332,0.07352380952380955,15,4,1,10
2025-08-24 00:00:00+00:00,0.06060606060606061,0.023712121212121212,33,6,0,27
2025-08-25 00:00:00+00:00,0.061538461538461535,0.031261538461538466,26,4,1,21
2025-08-26 00:00:00+00:00,0.015384615384615387,0.028553846153846152,26,6,2,18
2025-08-27 00:00:00+00:00,0.08,0.040816326530612256,50,7,0,43
2025-08-28 00:00:00+00:00,0.08679245283018867,0.06386066763425255,52,17,1,35
2025-08-29 00:00:00+00:00,0.05263157894736842,0.04818713450292397,19,4,1,14
2025-08-30 00:00:00+00:00,0.07692307692307693,0.09944615384615385,26,6,1,19
2025-08-31 00:00:00+00:00,0.058823529411764705,0.0688235294117647,17,4,1,12
2025-09-01 00:00:00+00:00,0.02222222222222222,0.03241830065359478,18,3,3,12
2025-09-02 00:00:00+00:00,0.14,0.07489655172413792,30,11,2,17
2025-09-03 00:00:00+00:00,0.07586206896551725,0.018325123152709365,29,9,0,20
2025-09-04 00:00:00+00:00,0.075,0.03290322580645162,32,3,0,29
2025-09-05 00:00:00+00:00,0.09166666666666667,0.031231884057971015,23,7,0,17
2025-09-06 00:00:00+00:00,0.03333333333333333,0.024705882352941178,18,1,0,17
2025-09-07 00:00:00+00:00,0.07407407407407407,0.05891737891737891,27,6,2,19
2025-09-08 00:00:00+00:00,0.10769230769230768,0.06473846153846155,26,5,1,20
2025-09-09 00:00:00+00:00,0.045454545454545456,0.01116883116883117,22,6,1,15
2025-09-10 00:00:00+00:00,0.08,0.07341176470588236,35,7,0,28
2025-09-11 00:00:00+00:00,0.12857142857142856,0.1013756613756614,28,5,1,22
2025-09-12 00:00:00+00:00,0.085,0.03258974358974358,37,12,1,27
2025-09-13 00:00:00+00:00,0.06666666666666667,0.047058823529411764,18,4,1,13
2025-09-14 00:00:00+00:00,0.045454545454545456,0.018787878787878787,22,4,0,18
2025-09-15 00:00:00+00:00,0.07692307692307693,0.022348178137651827,39,9,0,30
2025-09-16 00:00:00+00:00,0.05405405405405406,0.023663663663663667,36,5,1,31
2025-09-17 00:00:00+00:00,0.0736842105263158,0.022532005689900426,38,8,0,30
2025-09-18 00:00:00+00:00,0.06511627906976744,0.05661129568106312,43,10,4,29
2025-09-19 00:00:00+00:00,0.05384615384615384,0.02098461538461539,25,6,1,19
2025-09-20 00:00:00+00:00,0.042857142857142864,0.013406593406593408,14,4,0,10
2025-09-21 00:00:00+00:00,0.1,0.02470588235294117,18,6,0,12
2025-09-22 00:00:00+00:00,-0.011764705882352941,0.007352941176470589,16,0,1,16
2025-09-23 00:00:00+00:00,0.027777777777777776,0.05063492063492062,35,6,1,29
2025-09-24 00:00:00+00:00,0.060000000000000005,0.022434782608695657,69,17,2,51
2025-09-25 00:00:00+00:00,0.004761904761904761,0.01656213704994193,40,3,2,37
2025-09-26 00:00:00+00:00,0.02962962962962963,0.020626780626780625,27,2,2,23
2025-09-27 00:00:00+00:00,0.13939393939393938,0.06621212121212121,33,11,0,22
2025-09-28 00:00:00+00:00,0.028571428571428574,0.008042328042328043,28,2,1,25
2025-09-29 00:00:00+00:00,0.06666666666666667,0.06695035460992906,46,5,4,39
2025-09-30 00:00:00+00:00,0.08301886792452831,0.043744557329462995,50,13,3,37
2025-10-01 00:00:00+00:00,0.046153846153846156,0.020961538461538462,63,9,0,56
2025-10-02 00:00:00+00:00,0.059375,0.022450396825396828,63,11,3,50
2025-10-03 00:00:00+00:00,0.058823529411764705,0.02795008912655971,34,5,0,29
2025-10-04 00:00:00+00:00,0.09743589743589744,0.056572199730094475,37,9,2,28
2025-10-05 00:00:00+00:00,0.023529411764705882,0.009411764705882356,17,3,1,13
2025-10-06 00:00:00+00:00,0.09714285714285714,0.054991596638655466,34,5,0,30
2025-10-07 00:00:00+00:00,0.09999999999999999,0.07534883720930233,44,11,1,32
2025-10-08 00:00:00+00:00,0.05416666666666667,0.026790780141843974,48,7,1,40
2025-10-09 00:00:00+00:00,0.12790697674418605,0.05074145006839944,86,21,0,65
2025-10-10 00:00:00+00:00,0.09873417721518987,0.05012658227848101,79,20,3,56
2025-10-11 00:00:00+00:00,0.08235294117647059,0.07790331974373904,101,19,9,74
2025-10-12 00:00:00+00:00,0.05675675675675676,0.10577563865235097,73,15,10,49
2025-10-13 00:00:00+00:00,0.10606060606060606,0.06673193473193473,65,17,2,47
2025-10-14 00:00:00+00:00,0.09438202247191012,0.04553626149131767,88,26,9,54
2025-10-15 00:00:00+00:00,0.0547945205479452,0.04251141552511414,72,16,6,51
2025-10-16 00:00:00+00:00,0.0684931506849315,0.03135464231354643,73,17,4,52
2025-10-17 00:00:00+00:00,0.08275862068965517,0.03586206896551724,87,21,4,62
2025-10-18 00:00:00+00:00,0.08421052631578947,0.08563909774436089,57,14,2,41
2025-10-19 00:00:00+00:00,0.11076923076923076,0.08503846153846153,60,12,1,52
2025-10-20 00:00:00+00:00,0.07924528301886793,0.07899371069182391,104,27,6,73
2025-10-21 00:00:00+00:00,0.034782608695652174,0.019219295461758167,138,22,4,112
2025-10-22 00:00:00+00:00,0.07176470588235294,0.045233553776540224,164,33,6,131
2025-10-23 00:00:00+00:00,0.04313725490196079,0.038516792855756155,102,17,9,76
2025-10-24 00:00:00+00:00,0.07457627118644068,0.04157033173982325,117,23,4,91
2025-10-25 00:00:00+00:00,0.12658227848101267,0.06377150275884452,77,19,1,59
2025-10-26 00:00:00+00:00,0.06835443037974683,0.04193443687114573,77,14,4,61
2025-10-27 00:00:00+00:00,0.04122137404580153,0.021980035231943636,126,21,6,104
2025-10-28 00:00:00+00:00,0.06143790849673203,0.03435844513243892,146,23,5,125
2025-10-29 00:00:00+00:00,0.07067669172932331,0.038906356801093625,129,27,4,102
2025-10-30 00:00:00+00:00,0.07473684210526316,0.04750654413812308,186,36,3,151
2025-10-31 00:00:00+00:00,0.061946902654867256,0.0327677482792527,219,33,6,187
2025-11-01 00:00:00+00:00,0.043859649122807015,0.04726284738394659,110,17,6,91
2025-11-02 00:00:00+00:00,0.014285714285714285,0.026844809866392594,139,23,8,109
2025-11-03 00:00:00+00:00,0.07840909090909091,0.05210259740259741,168,45,13,118
2025-11-04 00:00:00+00:00,0.06868686868686869,0.04661752661752662,287,60,21,216
2025-11-05 00:00:00+00:00,0.07732342007434945,0.06235698829273705,265,56,16,197
2025-11-06 00:00:00+00:00,0.08983606557377048,0.06835030198446937,300,73,15,217
2025-11-07 00:00:00+00:00,0.06903225806451613,0.0344424261405157,306,66,14,230
2025-11-08 00:00:00+00:00,0.08461538461538462,0.04482667547045231,226,47,8,179
2025-11-09 00:00:00+00:00,0.08125,0.047333333333333324,256,57,8,191
2025-11-10 00:00:00+00:00,0.08549222797927461,0.04555521162775051,383,91,8,287
2025-11-11 00:00:00+00:00,0.07166666666666667,0.04844289693593315,356,85,20,255
2025-11-12 00:00:00+00:00,0.07976190476190477,0.05164889836531625,330,77,8,251
2025-11-13 00:00:00+00:00,0.06467486818980667,0.037781628258125234,553,117,26,426
2025-11-14 00:00:00+00:00,0.06094674556213018,0.03894665790050407,666,124,23,529
2025-11-15 00:00:00+00:00,0.041176470588235294,0.022159789288849874,67,8,1,59
