timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-29 05:01:10+00:00,@cryptosignals,6250,3576,12,9,0.4939,0.123,0.0,0.877,202
2025-11-28 15:04:25+00:00,@cryptosignals,6249,2181,4,20,0.2732,0.123,0.0,0.877,101
2025-11-28 10:36:45+00:00,@cryptosignals,6248,2379,2,21,-0.6486,0.0,0.223,0.777,98
2025-11-28 06:41:47+00:00,@cryptosignals,6247,2516,5,28,0.0,0.0,0.0,1.0,55
2025-11-28 06:39:11+00:00,@cryptosignals,6246,2462,4,11,0.0,0.0,0.0,1.0,87
2025-11-28 06:29:12+00:00,@cryptosignals,6245,2382,3,18,0.3016,0.234,0.192,0.574,134
2025-11-28 03:02:40+00:00,@cryptosignals,6244,2372,10,13,0.0,0.0,0.0,1.0,89
2025-11-28 02:55:41+00:00,@cryptosignals,6243,2306,7,21,-0.4019,0.103,0.169,0.728,126
2025-11-28 02:43:42+00:00,@cryptosignals,6242,4707,6,0,0.4215,0.583,0.0,0.417,100
2025-11-27 16:56:58+00:00,@cryptosignals,6239,2403,5,19,0.0,0.0,0.0,1.0,77
2025-11-27 07:19:07+00:00,@cryptosignals,6238,2686,8,21,0.2023,0.091,0.0,0.909,114
2025-11-27 07:16:41+00:00,@cryptosignals,6237,2633,8,13,0.4404,0.121,0.0,0.879,132
2025-11-26 18:14:32+00:00,@cryptosignals,6236,2858,1,17,0.0,0.0,0.0,1.0,51
2025-11-26 02:22:19+00:00,@cryptosignals,6235,2989,3,8,0.7003,0.392,0.0,0.608,67
2025-11-25 05:54:03+00:00,@cryptosignals,6234,3673,14,43,0.3291,0.057,0.0,0.943,210
2025-11-24 19:24:55+00:00,@cryptosignals,6233,3431,1,11,0.0,0.0,0.0,1.0,166
2025-11-24 19:19:38+00:00,@cryptosignals,6232,3506,3,11,0.4404,0.367,0.0,0.633,38
2025-11-23 17:23:15+00:00,@cryptosignals,6231,5392,12,77,0.0,0.0,0.0,1.0,43
2025-11-21 14:42:26+00:00,@cryptosignals,6230,5419,12,59,-0.4939,0.0,0.615,0.385,12
2025-11-21 14:36:46+00:00,@cryptosignals,6229,8254,19,54,0.1779,0.083,0.07,0.847,270
2025-11-21 12:34:01+00:00,@cryptosignals,6228,7081,35,49,0.7699,0.237,0.109,0.654,268
2025-11-21 10:04:27+00:00,@cryptosignals,6227,4762,26,46,0.0,0.0,0.0,1.0,54
2025-11-21 07:34:37+00:00,@cryptosignals,6226,6456,12,21,0.0,0.0,0.0,1.0,65
2025-11-21 02:44:01+00:00,@cryptosignals,6224,4816,10,28,0.0,0.0,0.0,1.0,4
2025-11-21 02:40:53+00:00,@cryptosignals,6223,4780,15,28,0.0,0.0,0.0,1.0,90
2025-11-20 15:45:06+00:00,@cryptosignals,6222,6654,3,8,0.0,0.0,0.0,1.0,81
2025-11-20 13:05:45+00:00,@cryptosignals,6221,4186,6,12,0.0,0.0,0.0,1.0,71
2025-11-20 11:40:43+00:00,@cryptosignals,6220,3601,5,34,0.368,0.092,0.0,0.908,140
2025-11-20 10:36:34+00:00,@cryptosignals,6219,6524,12,38,0.9214,0.209,0.089,0.703,495
2025-11-20 09:03:15+00:00,@cryptosignals,6218,4770,1,4,0.0,0.0,0.0,1.0,0
2025-11-20 08:24:44+00:00,@cryptosignals,6217,3517,1,0,0.0,0.0,0.0,1.0,65
2025-11-20 07:56:27+00:00,@cryptosignals,6216,2751,1,2,0.0,0.0,0.0,1.0,22
2025-11-20 07:56:27+00:00,@cryptosignals,6215,2793,4,5,0.0,0.0,0.0,1.0,167
2025-11-19 04:31:33+00:00,@cryptosignals,6214,5129,13,61,0.4404,0.162,0.0,0.838,82
2025-11-19 02:20:51+00:00,@cryptosignals,6212,3320,1,26,0.0,0.0,0.0,1.0,8
2025-11-18 19:15:57+00:00,@cryptosignals,6210,3590,5,35,-0.1027,0.0,0.113,0.887,70
2025-11-18 16:34:56+00:00,@cryptosignals,6209,3549,6,38,0.0,0.0,0.0,1.0,44
2025-11-18 16:01:45+00:00,@cryptosignals,6208,5135,7,31,0.25,0.134,0.081,0.785,176
2025-11-18 15:56:23+00:00,@cryptosignals,6207,3392,21,60,-0.2144,0.0,0.069,0.931,154
2025-11-18 14:27:00+00:00,@cryptosignals,6206,8812,10,16,0.0,0.0,0.0,1.0,110
2025-11-18 08:15:00+00:00,@cryptosignals,6205,5621,34,52,0.0,0.0,0.0,1.0,29
2025-11-18 08:06:44+00:00,@cryptosignals,6203,5067,8,4,0.0,0.0,0.0,1.0,101
2025-11-18 08:00:23+00:00,@cryptosignals,6201,3208,10,9,0.0,0.0,0.0,1.0,30
2025-11-18 07:52:21+00:00,@cryptosignals,6200,3114,8,8,0.4019,0.252,0.0,0.748,58
2025-11-18 07:40:34+00:00,@cryptosignals,6199,3079,6,6,0.0,0.0,0.0,1.0,31
2025-11-18 07:35:49+00:00,@cryptosignals,6198,2961,10,9,0.0,0.0,0.0,1.0,31
2025-11-18 07:26:34+00:00,@cryptosignals,6197,3043,24,21,-0.1695,0.0,0.089,0.911,122
2025-11-18 07:20:36+00:00,@cryptosignals,6196,3126,11,14,0.2023,0.172,0.138,0.69,125
2025-11-18 06:18:42+00:00,@cryptosignals,6195,4868,30,62,0.9214,0.209,0.089,0.703,495
2025-11-18 04:08:42+00:00,@cryptosignals,6194,2942,8,29,-0.2946,0.127,0.242,0.631,98
2025-11-18 04:02:35+00:00,@cryptosignals,6193,3641,15,22,0.4939,0.149,0.085,0.766,257
2025-11-18 03:56:40+00:00,@cryptosignals,6192,2872,2,11,0.0,0.0,0.0,1.0,0
2025-11-17 08:26:26+00:00,@cryptosignals,6190,3348,13,15,0.2263,0.115,0.077,0.809,128
2025-11-17 08:22:13+00:00,@cryptosignals,6189,3061,8,10,0.0,0.0,0.0,1.0,56
2025-11-17 08:18:21+00:00,@cryptosignals,6188,2763,11,10,0.8741,0.379,0.0,0.621,127
2025-11-17 08:14:49+00:00,@cryptosignals,6187,2637,8,6,0.0,0.0,0.0,1.0,28
2025-11-17 08:13:17+00:00,@cryptosignals,6186,2514,6,8,0.0,0.0,0.0,1.0,33
2025-11-17 08:11:13+00:00,@cryptosignals,6185,2429,10,9,0.0,0.0,0.0,1.0,30
2025-11-17 08:08:23+00:00,@cryptosignals,6184,2600,11,6,0.0,0.0,0.0,1.0,31
2025-11-17 08:05:56+00:00,@cryptosignals,6183,2559,11,11,0.8934,0.246,0.0,0.754,243
2025-11-17 07:59:41+00:00,@cryptosignals,6181,2481,10,5,0.0,0.0,0.0,1.0,30
2025-11-17 07:57:46+00:00,@cryptosignals,6180,2444,11,7,0.0,0.0,0.0,1.0,30
2025-11-17 07:54:25+00:00,@cryptosignals,6179,2417,12,15,-0.3968,0.0,0.17,0.83,127
2025-11-17 07:52:01+00:00,@cryptosignals,6178,2372,5,8,0.0,0.0,0.0,1.0,33
2025-11-17 07:49:09+00:00,@cryptosignals,6177,2443,7,8,0.0,0.0,0.0,1.0,31
2025-11-17 07:46:48+00:00,@cryptosignals,6176,2361,8,7,0.0,0.0,0.0,1.0,32
2025-11-17 07:44:43+00:00,@cryptosignals,6175,2391,10,10,0.0,0.0,0.0,1.0,30
2025-11-17 07:42:45+00:00,@cryptosignals,6174,2286,10,7,0.0,0.0,0.0,1.0,30
2025-11-17 07:40:01+00:00,@cryptosignals,6173,2589,11,15,0.0,0.0,0.0,1.0,30
2025-11-17 07:35:42+00:00,@cryptosignals,6172,2859,11,19,-0.7814,0.047,0.125,0.827,360
2025-11-16 04:10:48+00:00,@cryptosignals,6171,3168,11,41,-0.8481,0.0,0.434,0.566,84
2025-11-15 08:45:15+00:00,@cryptosignals,6170,3246,11,41,-0.2732,0.0,0.104,0.896,116
2025-11-15 08:35:23+00:00,@cryptosignals,6169,3152,14,42,0.0857,0.077,0.067,0.855,194
2025-11-15 08:32:15+00:00,@cryptosignals,6168,3131,10,26,0.0,0.0,0.0,1.0,101
2025-11-15 08:25:46+00:00,@cryptosignals,6167,2953,3,18,0.1531,0.144,0.112,0.745,99
2025-11-14 18:30:34+00:00,@cryptosignals,6166,2778,1,7,0.0,0.0,0.0,1.0,24
2025-11-14 18:30:33+00:00,@cryptosignals,6165,2729,4,5,0.0,0.0,0.0,1.0,164
2025-11-14 14:23:42+00:00,@cryptosignals,6164,3361,17,46,0.4404,0.081,0.0,0.919,208
2025-11-14 08:13:08+00:00,@cryptosignals,6163,3311,3,88,0.0,0.0,0.0,1.0,20
2025-11-13 02:51:13+00:00,@cryptosignals,6162,10395,7,0,0.0,0.0,0.0,1.0,0
2025-11-12 16:56:50+00:00,@cryptosignals,6161,4046,2,32,0.4215,0.483,0.0,0.517,17
2025-11-12 14:36:48+00:00,@cryptosignals,6160,4500,4,17,0.4019,0.13,0.0,0.87,102
2025-11-11 17:49:57+00:00,@cryptosignals,6159,4798,6,25,0.4019,0.13,0.0,0.87,112
2025-11-11 17:40:04+00:00,@cryptosignals,6158,4757,10,23,0.4019,0.119,0.0,0.881,127
2025-11-11 04:09:00+00:00,@cryptosignals,6157,4089,3,75,0.4404,0.225,0.0,0.775,86
2025-11-11 04:07:40+00:00,@cryptosignals,6156,4072,2,23,0.0,0.0,0.0,1.0,8
2025-11-10 11:32:18+00:00,@cryptosignals,6155,5123,11,35,0.6938,0.197,0.092,0.711,266
2025-11-07 18:42:35+00:00,@cryptosignals,6154,4322,2,8,0.0,0.0,0.0,1.0,79
2025-11-07 18:42:35+00:00,@cryptosignals,6153,4204,4,5,0.0,0.0,0.0,1.0,162
2025-11-07 16:24:20+00:00,@cryptosignals,6152,4307,8,39,0.4404,0.266,0.0,0.734,23
2025-11-06 19:07:28+00:00,@cryptosignals,6151,4542,0,7,0.0,0.0,0.0,1.0,25
2025-11-06 19:07:28+00:00,@cryptosignals,6150,3930,4,5,0.0,0.0,0.0,1.0,155
2025-11-01 16:45:19+00:00,@cryptosignals,6149,6283,3,35,0.0,0.0,0.0,1.0,46
2025-10-30 08:22:09+00:00,@cryptosignals,6148,6962,15,46,-0.2182,0.034,0.068,0.898,287
2025-10-30 03:07:32+00:00,@cryptosignals,6147,5858,11,76,0.5574,0.189,0.0,0.811,143
2025-10-29 18:04:04+00:00,@cryptosignals,6146,10246,23,37,-0.1531,0.2,0.291,0.509,73
2025-10-29 18:02:55+00:00,@cryptosignals,6145,9592,9,26,0.0,0.0,0.0,1.0,64
2025-10-29 18:00:23+00:00,@cryptosignals,6144,10103,13,30,-0.4466,0.0,0.423,0.577,18
2025-10-29 17:46:38+00:00,@cryptosignals,6143,6808,16,52,0.0,0.0,0.0,1.0,125
2025-10-29 17:43:36+00:00,@cryptosignals,6142,6673,33,50,-0.6808,0.0,0.228,0.772,111
2025-10-29 17:41:03+00:00,@cryptosignals,6141,5504,2,49,0.0,0.0,0.0,1.0,30
2025-10-24 12:40:43+00:00,@cryptosignals,6140,10787,17,58,0.8313,0.302,0.0,0.698,123
2025-10-24 12:38:34+00:00,@cryptosignals,6139,6882,17,32,0.7269,0.169,0.0,0.831,194
2025-10-21 15:50:26+00:00,@cryptosignals,6137,7301,3,26,0.0,0.0,0.0,1.0,29
2025-10-20 08:26:03+00:00,@cryptosignals,6136,6668,11,13,-0.5423,0.0,0.17,0.83,130
2025-10-20 08:23:07+00:00,@cryptosignals,6135,5552,11,4,0.0,0.0,0.0,1.0,129
2025-10-20 08:20:05+00:00,@cryptosignals,6134,4621,8,10,0.0,0.0,0.0,1.0,135
2025-10-20 08:17:43+00:00,@cryptosignals,6133,4413,13,7,-0.5423,0.0,0.17,0.83,130
2025-10-20 06:59:40+00:00,@cryptosignals,6132,4509,5,22,0.0,0.0,0.0,1.0,43
2025-10-20 06:54:44+00:00,@cryptosignals,6131,19465,22,13,0.0,0.0,0.0,1.0,81
2025-10-20 06:38:44+00:00,@cryptosignals,6130,4854,16,41,-0.2732,0.0,0.046,0.954,261
2025-10-20 03:12:31+00:00,@cryptosignals,6129,5026,10,63,0.0,0.0,0.0,1.0,79
2025-10-19 09:55:09+00:00,@cryptosignals,6128,8610,23,57,0.0,0.0,0.0,1.0,109
2025-10-16 17:58:12+00:00,@cryptosignals,6127,7041,4,36,0.0,0.0,0.0,1.0,10
2025-10-16 17:56:53+00:00,@cryptosignals,6126,6777,5,50,0.5994,0.328,0.0,0.672,50
2025-10-16 07:39:04+00:00,@cryptosignals,6125,7296,12,26,0.0,0.0,0.0,1.0,123
2025-10-15 18:21:51+00:00,@cryptosignals,6124,6228,11,52,0.5927,0.159,0.057,0.784,131
2025-10-15 18:19:14+00:00,@cryptosignals,6123,5612,11,24,0.0,0.0,0.0,1.0,135
2025-10-15 18:10:59+00:00,@cryptosignals,6122,5211,11,19,0.5267,0.127,0.0,0.873,233
2025-10-15 18:05:48+00:00,@cryptosignals,6121,4380,3,7,0.0,0.0,0.0,1.0,70
2025-10-15 18:01:08+00:00,@cryptosignals,6120,4091,4,5,0.6597,0.153,0.0,0.847,184
2025-10-15 17:54:48+00:00,@cryptosignals,6119,3942,4,8,0.743,0.205,0.042,0.753,198
2025-10-15 17:42:52+00:00,@cryptosignals,6118,4047,9,19,0.0,0.0,0.0,1.0,37
2025-10-15 09:18:19+00:00,@cryptosignals,6117,5100,17,25,-0.4541,0.019,0.056,0.924,569
2025-10-15 09:06:34+00:00,@cryptosignals,6116,4756,15,25,0.128,0.066,0.056,0.878,242
2025-10-11 03:28:42+00:00,@cryptosignals,6115,6107,15,50,0.0258,0.121,0.117,0.762,129
2025-10-11 03:01:37+00:00,@cryptosignals,6114,6095,9,33,0.7461,0.192,0.08,0.728,249
2025-10-11 02:57:34+00:00,@cryptosignals,6113,10527,11,5,-0.2584,0.0,0.289,0.711,116
2025-10-11 02:50:35+00:00,@cryptosignals,6112,6157,8,33,0.3182,0.233,0.153,0.613,77
2025-10-11 02:47:10+00:00,@cryptosignals,6111,6306,28,43,0.6908,0.213,0.078,0.709,184
2025-10-11 02:40:22+00:00,@cryptosignals,6110,6350,12,32,-0.5984,0.0,0.178,0.822,116
2025-10-11 02:35:56+00:00,@cryptosignals,6109,5949,5,26,0.0,0.0,0.0,1.0,110
2025-10-11 02:24:33+00:00,@cryptosignals,6108,5570,7,34,-0.6739,0.0,0.694,0.306,16
2025-10-10 07:57:39+00:00,@cryptosignals,6107,5729,5,33,0.0,0.0,0.0,1.0,92
2025-10-07 15:40:48+00:00,@cryptosignals,6106,7108,8,45,0.0,0.0,0.0,1.0,17
2025-10-03 17:03:27+00:00,@cryptosignals,6105,9080,4,8,0.0,0.0,0.0,1.0,106
2025-10-03 16:55:48+00:00,@cryptosignals,6104,8486,15,26,0.0,0.0,0.0,1.0,158
2025-10-02 17:30:50+00:00,@cryptosignals,6103,6207,1,6,0.0,0.0,0.0,1.0,35
2025-10-02 16:11:44+00:00,@cryptosignals,6102,5974,11,36,0.0,0.0,0.0,1.0,187
2025-10-01 09:19:10+00:00,@cryptosignals,6100,6417,7,26,0.5994,0.196,0.0,0.804,106
2025-10-01 05:51:27+00:00,@cryptosignals,6099,5748,31,48,-0.2023,0.049,0.069,0.882,209
2025-09-30 18:56:41+00:00,@cryptosignals,6098,5733,7,66,0.0,0.0,0.0,1.0,32
2025-09-29 01:50:44+00:00,@cryptosignals,6097,6259,1,13,0.0,0.0,0.0,1.0,22
2025-09-29 01:50:44+00:00,@cryptosignals,6096,5383,5,10,0.0,0.0,0.0,1.0,164
2025-09-27 08:12:40+00:00,@cryptosignals,6095,10118,17,17,0.0,0.0,0.0,1.0,91
2025-09-27 08:06:02+00:00,@cryptosignals,6094,6803,15,33,-0.0817,0.163,0.151,0.686,253
2025-09-27 07:51:50+00:00,@cryptosignals,6093,5446,10,23,-0.0772,0.038,0.064,0.898,247
2025-09-26 07:05:35+00:00,@cryptosignals,6092,5231,22,39,0.6369,0.218,0.1,0.682,207
2025-09-26 06:33:48+00:00,@cryptosignals,6091,5279,1,41,0.0,0.0,0.0,1.0,26
2025-09-23 13:53:39+00:00,@cryptosignals,6090,6970,8,39,0.4019,0.252,0.0,0.748,57
2025-09-23 13:51:13+00:00,@cryptosignals,6089,6554,12,32,0.0,0.0,0.0,1.0,129
2025-09-20 11:24:38+00:00,@cryptosignals,6088,6512,2,11,0.0,0.0,0.0,1.0,22
2025-09-20 11:24:38+00:00,@cryptosignals,6087,5346,4,6,0.0,0.0,0.0,1.0,155
2025-09-20 05:02:06+00:00,@cryptosignals,6086,5568,1,10,0.4019,0.13,0.0,0.87,80
2025-09-19 09:07:12+00:00,@cryptosignals,6085,4752,20,15,-0.296,0.0,0.046,0.954,215
2025-09-18 17:19:24+00:00,@cryptosignals,6084,5585,25,23,-0.296,0.0,0.041,0.959,237
2025-09-18 08:53:13+00:00,@cryptosignals,6083,4212,1,12,0.0,0.0,0.0,1.0,24
2025-09-18 08:53:12+00:00,@cryptosignals,6082,4722,1,10,0.0,0.0,0.0,1.0,161
2025-09-17 18:00:34+00:00,@cryptosignals,6081,8703,13,56,-0.4466,0.0,0.423,0.577,18
2025-09-16 08:44:32+00:00,@cryptosignals,6080,6302,18,59,0.0,0.0,0.0,1.0,41
2025-09-15 07:22:27+00:00,@cryptosignals,6079,7627,32,59,0.4173,0.166,0.0,0.834,85
2025-09-13 16:37:58+00:00,@cryptosignals,6078,11604,9,15,0.0,0.0,0.0,1.0,81
2025-09-10 15:59:57+00:00,@cryptosignals,6077,8073,3,24,0.0,0.0,0.0,1.0,33
2025-09-10 15:59:56+00:00,@cryptosignals,6076,6263,4,17,0.0,0.0,0.0,1.0,111
2025-09-10 08:23:27+00:00,@cryptosignals,6075,6538,7,31,0.4588,0.12,0.0,0.88,144
2025-09-10 08:10:51+00:00,@cryptosignals,6074,6794,18,30,0.7096,0.174,0.0,0.826,181
2025-09-10 08:02:03+00:00,@cryptosignals,6073,6085,20,69,-0.0644,0.038,0.041,0.921,459
2025-09-07 13:31:21+00:00,@cryptosignals,6072,10313,4,301,-0.296,0.0,0.524,0.476,19
2025-08-30 14:01:43+00:00,@cryptosignals,6071,10108,33,58,0.7096,0.16,0.095,0.746,350
2025-08-28 13:51:40+00:00,@cryptosignals,6070,8429,3,14,0.0,0.0,0.0,1.0,22
2025-08-28 13:51:39+00:00,@cryptosignals,6069,7516,9,17,0.0,0.0,0.0,1.0,155
2025-08-20 07:50:33+00:00,@cryptosignals,6068,10190,54,83,0.5023,0.058,0.027,0.915,365
2025-08-14 13:33:37+00:00,@cryptosignals,6067,17017,43,66,-0.3182,0.0,0.091,0.909,141
2025-08-14 12:35:41+00:00,@cryptosignals,6066,10645,17,37,0.0,0.0,0.0,1.0,33
2025-08-14 08:49:10+00:00,@cryptosignals,6065,13240,47,62,0.7212,0.265,0.09,0.645,173
2025-08-12 01:22:45+00:00,@cryptosignals,6064,8601,3,20,0.8828,0.23,0.0,0.77,223
2025-08-12 01:22:45+00:00,@cryptosignals,6063,5708,5,8,0.4019,0.051,0.0,0.949,490
2025-08-10 04:36:43+00:00,@cryptosignals,6062,7147,33,58,-0.4939,0.06,0.14,0.8,228
2025-08-08 04:46:37+00:00,@cryptosignals,6061,8346,13,29,0.2023,0.067,0.0,0.933,167
2025-08-05 07:56:54+00:00,@cryptosignals,6060,10711,49,61,-0.3744,0.055,0.099,0.845,290
2025-08-04 07:24:15+00:00,@cryptosignals,6059,8915,32,63,-0.6708,0.046,0.158,0.796,211
2025-08-02 18:39:44+00:00,@cryptosignals,6058,12776,7,14,0.0,0.0,0.0,1.0,81
2025-08-02 11:03:29+00:00,@cryptosignals,6057,14096,39,43,-0.34,0.119,0.199,0.682,82
2025-08-01 19:03:26+00:00,@cryptosignals,6056,9858,17,38,0.0,0.0,0.0,1.0,100
2025-08-01 18:56:04+00:00,@cryptosignals,6055,7775,1,31,0.8442,0.503,0.0,0.497,50
2025-08-01 11:01:47+00:00,@cryptosignals,6054,8741,42,54,0.0007,0.025,0.025,0.951,511
2025-08-01 10:29:20+00:00,@cryptosignals,6053,16436,8,0,0.0,0.0,0.0,1.0,0
2025-07-30 18:02:16+00:00,@cryptosignals,6052,17118,10,32,-0.296,0.0,0.306,0.694,29
2025-07-29 19:35:55+00:00,@cryptosignals,6051,14256,19,30,-0.1511,0.115,0.152,0.733,103
2025-07-29 13:12:42+00:00,@cryptosignals,6049,8965,7,18,-0.296,0.0,0.121,0.879,108
2025-07-29 12:51:29+00:00,@cryptosignals,6048,12024,20,33,0.368,0.163,0.0,0.837,79
2025-07-29 12:44:35+00:00,@cryptosignals,6047,10996,11,14,0.2023,0.31,0.0,0.69,83
2025-07-29 08:35:04+00:00,@cryptosignals,6046,8247,79,54,0.1531,0.087,0.069,0.844,176
2025-07-28 08:31:02+00:00,@cryptosignals,6045,6523,20,96,0.8689,0.205,0.0,0.795,222
2025-07-28 07:46:18+00:00,@cryptosignals,6044,6581,13,30,0.0,0.0,0.0,1.0,169
2025-07-28 07:40:41+00:00,@cryptosignals,6043,4849,28,18,0.6213,0.156,0.0,0.844,120
2025-07-28 02:42:06+00:00,@cryptosignals,6042,4706,2,9,0.0,0.0,0.0,1.0,125
2025-07-28 02:42:06+00:00,@cryptosignals,6041,4062,4,13,0.0,0.0,0.0,1.0,149
2025-07-27 11:24:15+00:00,@cryptosignals,6040,4375,2,12,0.0,0.0,0.0,1.0,24
2025-07-27 11:24:15+00:00,@cryptosignals,6039,4180,4,15,0.0,0.0,0.0,1.0,152
2025-07-26 06:44:18+00:00,@cryptosignals,6038,4736,2,18,0.4404,0.081,0.0,0.919,107
2025-07-26 06:39:09+00:00,@cryptosignals,6037,4701,5,5,-0.1779,0.141,0.124,0.734,96
2025-07-25 09:25:16+00:00,@cryptosignals,6036,5377,16,47,-0.6463,0.099,0.191,0.71,216
2025-07-25 07:29:16+00:00,@cryptosignals,6035,5191,12,27,-0.4019,0.0,0.144,0.856,147
2025-07-24 07:48:18+00:00,@cryptosignals,6034,6261,16,29,0.2263,0.064,0.0,0.936,169
2025-07-24 07:40:56+00:00,@cryptosignals,6033,5187,30,30,0.0,0.0,0.0,1.0,204
2025-07-23 03:43:51+00:00,@cryptosignals,6032,5461,29,49,0.7783,0.264,0.0,0.736,123
2025-07-22 18:19:38+00:00,@cryptosignals,6031,5904,7,28,0.5106,0.323,0.0,0.677,144
2025-07-22 16:26:29+00:00,@cryptosignals,6030,5362,14,60,0.0,0.0,0.0,1.0,77
2025-07-21 15:17:55+00:00,@cryptosignals,6029,5340,1,16,0.0,0.0,0.0,1.0,25
2025-07-21 13:21:48+00:00,@cryptosignals,6028,5594,1,17,-0.2023,0.033,0.052,0.915,158
2025-07-20 16:51:21+00:00,@cryptosignals,6027,5545,8,19,0.0,0.0,0.0,1.0,36
